"DESTROZA ESTE DIARIO (A TODO COLOR)","SMITH, KERI","No disponible","imagen5","24900"
"UN ALMA DE CENIZA Y SANGRE ( LIBRO 5 SAGA DE SANGRE Y CENIZAS )","ARMENTROUT, JENNIFER","Solo los recuerdos de Cas pueden salvarla","imagen6","35100"
"FABRICANTE DE LAGRIMAS","DOOM, ERIN","El deseo de una familia. Un amor imposible. más seguimiento mundial, con el seudónimo DreamEater.","imagen7","34999"

